Stock Code,Investment_2019,Predicted_Investment_2019
603725,12334.93624,34369.030828521936
603938,14264.07201,40821.60947118647
600392,100065.3769,121814.79605380201
600066,1212372.817,-139273.9792613387
2726,149884.5894,125658.09136799863
603982,2247.6,29482.741595944623
2128,100804.8997,150548.94877227076
603608,13215.01241,50791.61362158286
2824,9282.769618,66471.07414301916
778,148494.1887,154878.98391084943
2248,18247.88362,52820.87258624047
600320,139265.0116,34063.49697524967
603580,1716.087847,34601.52144665457
300441,16883.56574,52474.08227350947
300585,11055.85589,73171.53862843488
603326,5507.938731,54267.024591275316
300694,13086.95901,42721.61752316909
990,216284.631,170412.77355440613
600589,18620.4074,52145.20328501874
2190,86715.97901,-5133.932428552245
600375,22532.47182,30525.352548247087
600418,21622.57104,35818.364781570795
2810,25677.82029,65548.31982240023
603320,4199.15925,55456.74056679441
2021,8814.523665,38629.19845647004
603006,5438.562879,41773.25633399648
2951,9834.3234,19197.82406080555
300604,136529.7921,-5149.770183413813
603863,17438.54414,57102.51014865615
2215,29527.63657,47483.60920250736
300737,19816.02201,54196.34256782022
600398,144864.8971,338981.4996959135
600971,48122.81068,122718.67503956315
2685,35375.23985,54686.829288955545
601599,9898.06304,53977.191760542104
2599,10818.2196,38374.25930727192
603681,20315.71985,56162.1066085358
600114,57268.61756,71135.30503904953
2598,32659.54615,34238.667178146425
2097,99028.55849,34434.52392073383
8,189018.3192,11242.532613837277
2274,53938.22363,86481.80066280247
300637,8486.205328,36549.98407493526
2233,203745.5198,130283.5691476923
601003,175907.6265,188097.03557321068
2114,35549.42782,40425.70316404314
603131,1107.496198,31517.53551276785
603696,4129.245994,36672.868761874095
2652,13673.48292,28980.619047484186
2833,11874.57788,-7547.384956988099
603928,16899.17645,49411.799055097974
2732,24915.91223,80615.57783247146
300665,3841.824693,22276.43638403766
2228,38108.01914,53060.58327380044
603886,52961.79042,71749.53722073283
2108,66170.16263,108615.53680140368
2170,23098.8902,38960.21480129933
2715,96908.15945,39593.2536433342
2825,6159.681917,40063.548755827534
603739,5751.402274,33681.209781396086
2201,60309.83101,84672.4305807362
603339,24199.42479,86336.14248607832
603356,2846.263991,30574.908710982185
603600,55389.43474,96426.66496245656
2124,204370.9876,164896.86662942963
